vehicleNum,vehicleType,initSpeed
int,string,km/min
1,VehicleC,1
3,VehicleC,1
5,VehicleC,1
7,VehicleC,1
9,VehicleC,1
11,VehicleC,1
13,VehicleC,1
15,VehicleC,1
17,VehicleC,1
19,VehicleC,1
21,VehicleC,1
23,VehicleC,1
25,VehicleC,1
27,VehicleC,1
29,VehicleC,1
31,VehicleC,1
33,VehicleC,1
35,VehicleC,1
37,VehicleC,1
39,VehicleC,1
41,VehicleC,1
43,VehicleC,1
45,VehicleC,1
47,VehicleC,1
49,VehicleC,1
51,VehicleC,1
53,VehicleC,1
55,VehicleC,1
57,VehicleC,1
59,VehicleC,1
61,VehicleC,1
63,VehicleC,1
65,VehicleC,1
67,VehicleC,1
69,VehicleC,1
71,VehicleC,1
73,VehicleC,1
75,VehicleC,1
77,VehicleC,1
79,VehicleC,1
81,VehicleC,1
83,VehicleC,1
85,VehicleC,1
87,VehicleC,1
89,VehicleC,1
91,VehicleC,1
93,VehicleC,1
95,VehicleC,1
97,VehicleC,1
99,VehicleC,1
101,VehicleC,1
103,VehicleC,1
105,VehicleC,1
107,VehicleC,1
109,VehicleC,1
111,VehicleC,1
113,VehicleC,1
115,VehicleC,1
117,VehicleC,1
119,VehicleC,1
121,VehicleC,1
123,VehicleC,1
125,VehicleC,1
127,VehicleC,1
129,VehicleC,1
131,VehicleC,1
133,VehicleC,1
135,VehicleC,1
137,VehicleC,1
139,VehicleC,1
141,VehicleC,1
143,VehicleC,1
145,VehicleC,1
147,VehicleC,1
149,VehicleC,1
151,VehicleC,1
153,VehicleC,1
155,VehicleC,1
157,VehicleC,1
159,VehicleC,1
161,VehicleC,1
163,VehicleC,1
165,VehicleC,1
167,VehicleC,1
169,VehicleC,1
171,VehicleC,1
173,VehicleC,1
175,VehicleC,1
177,VehicleC,1
179,VehicleC,1
181,VehicleC,1
183,VehicleC,1
185,VehicleC,1
187,VehicleC,1
189,VehicleC,1
191,VehicleC,1
193,VehicleC,1
195,VehicleC,1
197,VehicleC,1
199,VehicleC,1
201,VehicleC,1
203,VehicleC,1
205,VehicleC,1
207,VehicleC,1
209,VehicleC,1
211,VehicleC,1
213,VehicleC,1
215,VehicleC,1
217,VehicleC,1
219,VehicleC,1
221,VehicleC,1
223,VehicleC,1
225,VehicleC,1
227,VehicleC,1
229,VehicleC,1
231,VehicleC,1
233,VehicleC,1
235,VehicleC,1
237,VehicleC,1
239,VehicleC,1
241,VehicleC,1
243,VehicleC,1
245,VehicleC,1
247,VehicleC,1
249,VehicleC,1
251,VehicleC,1
253,VehicleC,1
255,VehicleC,1
257,VehicleC,1
259,VehicleC,1
261,VehicleC,1
263,VehicleC,1
265,VehicleC,1
267,VehicleC,1
269,VehicleC,1
271,VehicleC,1
273,VehicleC,1
275,VehicleC,1
277,VehicleC,1
279,VehicleC,1
281,VehicleC,1
283,VehicleC,1
285,VehicleC,1
287,VehicleC,1
289,VehicleC,1
291,VehicleC,1
293,VehicleC,1
295,VehicleC,1
297,VehicleC,1
299,VehicleC,1
301,VehicleC,1
303,VehicleC,1
305,VehicleC,1
307,VehicleC,1
309,VehicleC,1
311,VehicleC,1
313,VehicleC,1
315,VehicleC,1
317,VehicleC,1
319,VehicleC,1
321,VehicleC,1
323,VehicleC,1
325,VehicleC,1
327,VehicleC,1
329,VehicleC,1
331,VehicleC,1
333,VehicleC,1
335,VehicleC,1
337,VehicleC,1
339,VehicleC,1
341,VehicleC,1
343,VehicleC,1
345,VehicleC,1
347,VehicleC,1
349,VehicleC,1
351,VehicleC,1
353,VehicleC,1
355,VehicleC,1
357,VehicleC,1
359,VehicleC,1
361,VehicleC,1
363,VehicleC,1
365,VehicleC,1
367,VehicleC,1
369,VehicleC,1
371,VehicleC,1
373,VehicleC,1
375,VehicleC,1
377,VehicleC,1
379,VehicleC,1
381,VehicleC,1
383,VehicleC,1
385,VehicleC,1
387,VehicleC,1
389,VehicleC,1
391,VehicleC,1
393,VehicleC,1
395,VehicleC,1
397,VehicleC,1
399,VehicleC,1
401,VehicleC,1
403,VehicleC,1
405,VehicleC,1
407,VehicleC,1
409,VehicleC,1
411,VehicleC,1
413,VehicleC,1
415,VehicleC,1
417,VehicleC,1
419,VehicleC,1
421,VehicleC,1
423,VehicleC,1
425,VehicleC,1
427,VehicleC,1
429,VehicleC,1
431,VehicleC,1
433,VehicleC,1
435,VehicleC,1
437,VehicleC,1
439,VehicleC,1
441,VehicleC,1
443,VehicleC,1
445,VehicleC,1
447,VehicleC,1
449,VehicleC,1
451,VehicleC,1
453,VehicleC,1
455,VehicleC,1
457,VehicleC,1
459,VehicleC,1
461,VehicleC,1
463,VehicleC,1
465,VehicleC,1
467,VehicleC,1
469,VehicleC,1
471,VehicleC,1
473,VehicleC,1
475,VehicleC,1
477,VehicleC,1
479,VehicleC,1
481,VehicleC,1
483,VehicleC,1
485,VehicleC,1
487,VehicleC,1
489,VehicleC,1
491,VehicleC,1
493,VehicleC,1
495,VehicleC,1
497,VehicleC,1
499,VehicleC,1
501,VehicleC,1
503,VehicleC,1
505,VehicleC,1
507,VehicleC,1
509,VehicleC,1
511,VehicleC,1
513,VehicleC,1
515,VehicleC,1
517,VehicleC,1
519,VehicleC,1
521,VehicleC,1
523,VehicleC,1
525,VehicleC,1
527,VehicleC,1
529,VehicleC,1
531,VehicleC,1
533,VehicleC,1
535,VehicleC,1
537,VehicleC,1
539,VehicleC,1
541,VehicleC,1
543,VehicleC,1
545,VehicleC,1
547,VehicleC,1
549,VehicleC,1
551,VehicleC,1
553,VehicleC,1
555,VehicleC,1
557,VehicleC,1
559,VehicleC,1
561,VehicleC,1
563,VehicleC,1
565,VehicleC,1
567,VehicleC,1
569,VehicleC,1
571,VehicleC,1
573,VehicleC,1
575,VehicleC,1
577,VehicleC,1
579,VehicleC,1
581,VehicleC,1
583,VehicleC,1
585,VehicleC,1
587,VehicleC,1
589,VehicleC,1
591,VehicleC,1
593,VehicleC,1
595,VehicleC,1
597,VehicleC,1
599,VehicleC,1
601,VehicleC,1
603,VehicleC,1
605,VehicleC,1
607,VehicleC,1
609,VehicleC,1
611,VehicleC,1
613,VehicleC,1
615,VehicleC,1
617,VehicleC,1
619,VehicleC,1
621,VehicleC,1
623,VehicleC,1
625,VehicleC,1
627,VehicleC,1
629,VehicleC,1
631,VehicleC,1
633,VehicleC,1
635,VehicleC,1
637,VehicleC,1
639,VehicleC,1
641,VehicleC,1
643,VehicleC,1
645,VehicleC,1
647,VehicleC,1
649,VehicleC,1
651,VehicleC,1
653,VehicleC,1
655,VehicleC,1
657,VehicleC,1
659,VehicleC,1
661,VehicleC,1
663,VehicleC,1
665,VehicleC,1
667,VehicleC,1
669,VehicleC,1
671,VehicleC,1
673,VehicleC,1
675,VehicleC,1
677,VehicleC,1
679,VehicleC,1
681,VehicleC,1
683,VehicleC,1
685,VehicleC,1
687,VehicleC,1
689,VehicleC,1
691,VehicleC,1
693,VehicleC,1
695,VehicleC,1
697,VehicleC,1
699,VehicleC,1
701,VehicleC,1
703,VehicleC,1
705,VehicleC,1
707,VehicleC,1
709,VehicleC,1
711,VehicleC,1
713,VehicleC,1
715,VehicleC,1
717,VehicleC,1
719,VehicleC,1
721,VehicleC,1
723,VehicleC,1
725,VehicleC,1
727,VehicleC,1
729,VehicleC,1
731,VehicleC,1
733,VehicleC,1
735,VehicleC,1
737,VehicleC,1
739,VehicleC,1
741,VehicleC,1
743,VehicleC,1
745,VehicleC,1
747,VehicleC,1
749,VehicleC,1
751,VehicleC,1
753,VehicleC,1
755,VehicleC,1
757,VehicleC,1
759,VehicleC,1
761,VehicleC,1
763,VehicleC,1
765,VehicleC,1
767,VehicleC,1
769,VehicleC,1
771,VehicleC,1
773,VehicleC,1
775,VehicleC,1
777,VehicleC,1
779,VehicleC,1
781,VehicleC,1
783,VehicleC,1
785,VehicleC,1
787,VehicleC,1
789,VehicleC,1
791,VehicleC,1
793,VehicleC,1
795,VehicleC,1
797,VehicleC,1
799,VehicleC,1
801,VehicleC,1
803,VehicleC,1
805,VehicleC,1
807,VehicleC,1
809,VehicleC,1
811,VehicleC,1
813,VehicleC,1
815,VehicleC,1
817,VehicleC,1
819,VehicleC,1
821,VehicleC,1
823,VehicleC,1
825,VehicleC,1
827,VehicleC,1
829,VehicleC,1
831,VehicleC,1
833,VehicleC,1
835,VehicleC,1
837,VehicleC,1
839,VehicleC,1
841,VehicleC,1
843,VehicleC,1
845,VehicleC,1
847,VehicleC,1
849,VehicleC,1
851,VehicleC,1
853,VehicleC,1
855,VehicleC,1
857,VehicleC,1
859,VehicleC,1
861,VehicleC,1
863,VehicleC,1
865,VehicleC,1
867,VehicleC,1
869,VehicleC,1
871,VehicleC,1
873,VehicleC,1
875,VehicleC,1
877,VehicleC,1
879,VehicleC,1
881,VehicleC,1
883,VehicleC,1
885,VehicleC,1
887,VehicleC,1
889,VehicleC,1
891,VehicleC,1
893,VehicleC,1
895,VehicleC,1
897,VehicleC,1
899,VehicleC,1
901,VehicleC,1
903,VehicleC,1
905,VehicleC,1
907,VehicleC,1
909,VehicleC,1
911,VehicleC,1
913,VehicleC,1
915,VehicleC,1
917,VehicleC,1
919,VehicleC,1
921,VehicleC,1
923,VehicleC,1
925,VehicleC,1
927,VehicleC,1
929,VehicleC,1
931,VehicleC,1
933,VehicleC,1
935,VehicleC,1
937,VehicleC,1
939,VehicleC,1
941,VehicleC,1
943,VehicleC,1
945,VehicleC,1
947,VehicleC,1
949,VehicleC,1
951,VehicleC,1
953,VehicleC,1
955,VehicleC,1
957,VehicleC,1
959,VehicleC,1
961,VehicleC,1
963,VehicleC,1
965,VehicleC,1
967,VehicleC,1
969,VehicleC,1
971,VehicleC,1
973,VehicleC,1
975,VehicleC,1
977,VehicleC,1
979,VehicleC,1
981,VehicleC,1
983,VehicleC,1
985,VehicleC,1
987,VehicleC,1
989,VehicleC,1
991,VehicleC,1
993,VehicleC,1
995,VehicleC,1
997,VehicleC,1
999,VehicleC,1
1001,VehicleC,1
1003,VehicleC,1
1005,VehicleC,1
1007,VehicleC,1
1009,VehicleC,1
1011,VehicleC,1
1013,VehicleC,1
1015,VehicleC,1
1017,VehicleC,1
1019,VehicleC,1
1021,VehicleC,1
1023,VehicleC,1
1025,VehicleC,1
1027,VehicleC,1
1029,VehicleC,1
1031,VehicleC,1
1033,VehicleC,1
1035,VehicleC,1
1037,VehicleC,1
1039,VehicleC,1
1041,VehicleC,1
1043,VehicleC,1
1045,VehicleC,1
1047,VehicleC,1
1049,VehicleC,1
1051,VehicleC,1
1053,VehicleC,1
1055,VehicleC,1
1057,VehicleC,1
1059,VehicleC,1
1061,VehicleC,1
1063,VehicleC,1
1065,VehicleC,1
1067,VehicleC,1
1069,VehicleC,1
1071,VehicleC,1
1073,VehicleC,1
1075,VehicleC,1
1077,VehicleC,1
1079,VehicleC,1
1081,VehicleC,1
1083,VehicleC,1
1085,VehicleC,1
1087,VehicleC,1
1089,VehicleC,1
1091,VehicleC,1
1093,VehicleC,1
1095,VehicleC,1
1097,VehicleC,1
1099,VehicleC,1
1101,VehicleC,1
1103,VehicleC,1
1105,VehicleC,1
1107,VehicleC,1
1109,VehicleC,1
1111,VehicleC,1
1113,VehicleC,1
1115,VehicleC,1
1117,VehicleC,1
1119,VehicleC,1
1121,VehicleC,1
1123,VehicleC,1
1125,VehicleC,1
1127,VehicleC,1
1129,VehicleC,1
1131,VehicleC,1
1133,VehicleC,1
1135,VehicleC,1
1137,VehicleC,1
1139,VehicleC,1
1141,VehicleC,1
1143,VehicleC,1
1145,VehicleC,1
1147,VehicleC,1
1149,VehicleC,1
1151,VehicleC,1
1153,VehicleC,1
1155,VehicleC,1
1157,VehicleC,1
1159,VehicleC,1
1161,VehicleC,1
1163,VehicleC,1
1165,VehicleC,1
1167,VehicleC,1
1169,VehicleC,1
1171,VehicleC,1
1173,VehicleC,1
1175,VehicleC,1
1177,VehicleC,1
1179,VehicleC,1
1181,VehicleC,1
1183,VehicleC,1
1185,VehicleC,1
1187,VehicleC,1
1189,VehicleC,1
1191,VehicleC,1
1193,VehicleC,1
1195,VehicleC,1
1197,VehicleC,1
1199,VehicleC,1
1201,VehicleC,1
1203,VehicleC,1
1205,VehicleC,1
1207,VehicleC,1
1209,VehicleC,1
1211,VehicleC,1
1213,VehicleC,1
1215,VehicleC,1
1217,VehicleC,1
1219,VehicleC,1
1221,VehicleC,1
1223,VehicleC,1
1225,VehicleC,1
1227,VehicleC,1
1229,VehicleC,1
1231,VehicleC,1
1233,VehicleC,1
1235,VehicleC,1
1237,VehicleC,1
1239,VehicleC,1
1241,VehicleC,1
1243,VehicleC,1
1245,VehicleC,1
1247,VehicleC,1
1249,VehicleC,1
1251,VehicleC,1
1253,VehicleC,1
1255,VehicleC,1
1257,VehicleC,1
1259,VehicleC,1
1261,VehicleC,1
1263,VehicleC,1
1265,VehicleC,1
1267,VehicleC,1
1269,VehicleC,1
1271,VehicleC,1
1273,VehicleC,1
1275,VehicleC,1
1277,VehicleC,1
1279,VehicleC,1
1281,VehicleC,1
1283,VehicleC,1
1285,VehicleC,1
1287,VehicleC,1
1289,VehicleC,1
1291,VehicleC,1
1293,VehicleC,1
1295,VehicleC,1
1297,VehicleC,1
1299,VehicleC,1
1301,VehicleC,1
1303,VehicleC,1
1305,VehicleC,1
1307,VehicleC,1
1309,VehicleC,1
1311,VehicleC,1
1313,VehicleC,1
1315,VehicleC,1
1317,VehicleC,1
1319,VehicleC,1
1321,VehicleC,1
1323,VehicleC,1
1325,VehicleC,1
1327,VehicleC,1
1329,VehicleC,1
1331,VehicleC,1
1333,VehicleC,1
1335,VehicleC,1
1337,VehicleC,1
1339,VehicleC,1
1341,VehicleC,1
1343,VehicleC,1
1345,VehicleC,1
1347,VehicleC,1
1349,VehicleC,1
1351,VehicleC,1
1353,VehicleC,1
1355,VehicleC,1
1357,VehicleC,1
1359,VehicleC,1
1361,VehicleC,1
1363,VehicleC,1
1365,VehicleC,1
1367,VehicleC,1
1369,VehicleC,1
1371,VehicleC,1
1373,VehicleC,1
1375,VehicleC,1
1377,VehicleC,1
1379,VehicleC,1
1381,VehicleC,1
1383,VehicleC,1
1385,VehicleC,1
1387,VehicleC,1
1389,VehicleC,1
1391,VehicleC,1
1393,VehicleC,1
1395,VehicleC,1
1397,VehicleC,1
1399,VehicleC,1
1401,VehicleC,1
1403,VehicleC,1
1405,VehicleC,1
1407,VehicleC,1
1409,VehicleC,1
1411,VehicleC,1
1413,VehicleC,1
1415,VehicleC,1
1417,VehicleC,1
1419,VehicleC,1
1421,VehicleC,1
1423,VehicleC,1
1425,VehicleC,1
1427,VehicleC,1
1429,VehicleC,1
1431,VehicleC,1
1433,VehicleC,1
1435,VehicleC,1
1437,VehicleC,1
1439,VehicleC,1
1441,VehicleC,1
1443,VehicleC,1
1445,VehicleC,1
1447,VehicleC,1
1449,VehicleC,1
1451,VehicleC,1
1453,VehicleC,1
1455,VehicleC,1
1457,VehicleC,1
1459,VehicleC,1
1461,VehicleC,1
1463,VehicleC,1
1465,VehicleC,1
1467,VehicleC,1
1469,VehicleC,1
1471,VehicleC,1
1473,VehicleC,1
1475,VehicleC,1
1477,VehicleC,1
1479,VehicleC,1
1481,VehicleC,1
1483,VehicleC,1
1485,VehicleC,1
1487,VehicleC,1
1489,VehicleC,1
1491,VehicleC,1
1493,VehicleC,1
1495,VehicleC,1
1497,VehicleC,1
1499,VehicleC,1
1501,VehicleC,1
1503,VehicleC,1
1505,VehicleC,1
1507,VehicleC,1
1509,VehicleC,1
1511,VehicleC,1
1513,VehicleC,1
1515,VehicleC,1
1517,VehicleC,1
1519,VehicleC,1
1521,VehicleC,1
1523,VehicleC,1
1525,VehicleC,1
1527,VehicleC,1
1529,VehicleC,1
1531,VehicleC,1
1533,VehicleC,1
1535,VehicleC,1
1537,VehicleC,1
1539,VehicleC,1
1541,VehicleC,1
1543,VehicleC,1
1545,VehicleC,1
1547,VehicleC,1
1549,VehicleC,1
1551,VehicleC,1
1553,VehicleC,1
1555,VehicleC,1
1557,VehicleC,1
1559,VehicleC,1
1561,VehicleC,1
1563,VehicleC,1
1565,VehicleC,1
1567,VehicleC,1
1569,VehicleC,1
1571,VehicleC,1
1573,VehicleC,1
1575,VehicleC,1
1577,VehicleC,1
1579,VehicleC,1
1581,VehicleC,1
1583,VehicleC,1
1585,VehicleC,1
1587,VehicleC,1
1589,VehicleC,1
1591,VehicleC,1
1593,VehicleC,1
1595,VehicleC,1
1597,VehicleC,1
1599,VehicleC,1
1601,VehicleC,1
1603,VehicleC,1
1605,VehicleC,1
1607,VehicleC,1
1609,VehicleC,1
1611,VehicleC,1
1613,VehicleC,1
1615,VehicleC,1
1617,VehicleC,1
1619,VehicleC,1
1621,VehicleC,1
1623,VehicleC,1
1625,VehicleC,1
1627,VehicleC,1
1629,VehicleC,1
1631,VehicleC,1
1633,VehicleC,1
1635,VehicleC,1
1637,VehicleC,1
1639,VehicleC,1
1641,VehicleC,1
1643,VehicleC,1
1645,VehicleC,1
1647,VehicleC,1
1649,VehicleC,1
1651,VehicleC,1
1653,VehicleC,1
1655,VehicleC,1
1657,VehicleC,1
1659,VehicleC,1
1661,VehicleC,1
1663,VehicleC,1
1665,VehicleC,1
1667,VehicleC,1
1669,VehicleC,1
1671,VehicleC,1
1673,VehicleC,1
1675,VehicleC,1
1677,VehicleC,1
1679,VehicleC,1
1681,VehicleC,1
1683,VehicleC,1
1685,VehicleC,1
1687,VehicleC,1
1689,VehicleC,1
1691,VehicleC,1
1693,VehicleC,1
1695,VehicleC,1
1697,VehicleC,1
1699,VehicleC,1
1701,VehicleC,1
1703,VehicleC,1
1705,VehicleC,1
1707,VehicleC,1
1709,VehicleC,1
1711,VehicleC,1
1713,VehicleC,1
1715,VehicleC,1
1717,VehicleC,1
1719,VehicleC,1
1721,VehicleC,1
1723,VehicleC,1
1725,VehicleC,1
1727,VehicleC,1
1729,VehicleC,1
1731,VehicleC,1
1733,VehicleC,1
1735,VehicleC,1
1737,VehicleC,1
1739,VehicleC,1
1741,VehicleC,1
1743,VehicleC,1
1745,VehicleC,1
1747,VehicleC,1
1749,VehicleC,1
1751,VehicleC,1
1753,VehicleC,1
1755,VehicleC,1
1757,VehicleC,1
1759,VehicleC,1
1761,VehicleC,1
1763,VehicleC,1
1765,VehicleC,1
1767,VehicleC,1
1769,VehicleC,1
1771,VehicleC,1
1773,VehicleC,1
1775,VehicleC,1
1777,VehicleC,1
1779,VehicleC,1
1781,VehicleC,1
1783,VehicleC,1
1785,VehicleC,1
1787,VehicleC,1
1789,VehicleC,1
1791,VehicleC,1
1793,VehicleC,1
1795,VehicleC,1
1797,VehicleC,1
1799,VehicleC,1
1801,VehicleC,1
1803,VehicleC,1
1805,VehicleC,1
1807,VehicleC,1
1809,VehicleC,1
1811,VehicleC,1
1813,VehicleC,1
1815,VehicleC,1
1817,VehicleC,1
1819,VehicleC,1
1821,VehicleC,1
1823,VehicleC,1
1825,VehicleC,1
1827,VehicleC,1
1829,VehicleC,1
1831,VehicleC,1
1833,VehicleC,1
1835,VehicleC,1
1837,VehicleC,1
1839,VehicleC,1
1841,VehicleC,1
1843,VehicleC,1
1845,VehicleC,1
1847,VehicleC,1
1849,VehicleC,1
1851,VehicleC,1
1853,VehicleC,1
1855,VehicleC,1
1857,VehicleC,1
1859,VehicleC,1
1861,VehicleC,1
1863,VehicleC,1
1865,VehicleC,1
1867,VehicleC,1
1869,VehicleC,1
1871,VehicleC,1
1873,VehicleC,1
1875,VehicleC,1
1877,VehicleC,1
1879,VehicleC,1
1881,VehicleC,1
1883,VehicleC,1
1885,VehicleC,1
1887,VehicleC,1
1889,VehicleC,1
1891,VehicleC,1
1893,VehicleC,1
1895,VehicleC,1
1897,VehicleC,1
1899,VehicleC,1
1901,VehicleC,1
1903,VehicleC,1
1905,VehicleC,1
1907,VehicleC,1
1909,VehicleC,1
1911,VehicleC,1
1913,VehicleC,1
1915,VehicleC,1
1917,VehicleC,1
1919,VehicleC,1
1921,VehicleC,1
1923,VehicleC,1
1925,VehicleC,1
1927,VehicleC,1
1929,VehicleC,1
1931,VehicleC,1
1933,VehicleC,1
1935,VehicleC,1
1937,VehicleC,1
1939,VehicleC,1
1941,VehicleC,1
1943,VehicleC,1
1945,VehicleC,1
1947,VehicleC,1
1949,VehicleC,1
1951,VehicleC,1
1953,VehicleC,1
1955,VehicleC,1
1957,VehicleC,1
1959,VehicleC,1
1961,VehicleC,1
1963,VehicleC,1
1965,VehicleC,1
1967,VehicleC,1
1969,VehicleC,1
1971,VehicleC,1
1973,VehicleC,1
1975,VehicleC,1
1977,VehicleC,1
1979,VehicleC,1
1981,VehicleC,1
1983,VehicleC,1
1985,VehicleC,1
1987,VehicleC,1
1989,VehicleC,1
1991,VehicleC,1
1993,VehicleC,1
1995,VehicleC,1
1997,VehicleC,1
1999,VehicleC,1
2001,VehicleC,1
2003,VehicleC,1
2005,VehicleC,1
2007,VehicleC,1
2009,VehicleC,1
2011,VehicleC,1
2013,VehicleC,1
2015,VehicleC,1
2017,VehicleC,1
2019,VehicleC,1
2021,VehicleC,1
2023,VehicleC,1
2025,VehicleC,1
2027,VehicleC,1
2029,VehicleC,1
2031,VehicleC,1
2033,VehicleC,1
2035,VehicleC,1
2037,VehicleC,1
2039,VehicleC,1
2041,VehicleC,1
2043,VehicleC,1
2045,VehicleC,1
2047,VehicleC,1
2049,VehicleC,1
2051,VehicleC,1
2053,VehicleC,1
2055,VehicleC,1
2057,VehicleC,1
2059,VehicleC,1
2061,VehicleC,1
2063,VehicleC,1
2065,VehicleC,1
