linkNum,linkName,linkType,origin,dest,vehicleCCap,freeSpeed,distance
int,string,string,int,int,vehicles,km/min,km
1,'Link   1',LinkC,1,14,5000,1,1
2,'Link   2',LinkC,14,27,5000,1,1
3,'Link   3',LinkC,27,40,5000,1,1
4,'Link   4',LinkC,40,53,5000,1,1
5,'Link   5',LinkC,53,66,5000,1,1
6,'Link   6',LinkC,66,79,5000,1,1
7,'Link   7',LinkC,79,92,5000,1,1
8,'Link   8',LinkC,92,105,5000,1,1
9,'Link   9',LinkC,105,118,5000,1,1
10,'Link  10',LinkC,118,131,5000,1,1
11,'Link  11',LinkC,131,144,5000,1,1
12,'Link  12',LinkC,144,157,5000,1,1
13,'Link  13',LinkC,2,15,5000,1,1
14,'Link  14',LinkC,15,28,5000,1,1
15,'Link  15',LinkC,28,41,5000,1,1
16,'Link  16',LinkC,41,54,5000,1,1
17,'Link  17',LinkC,54,67,5000,1,1
18,'Link  18',LinkC,67,80,5000,1,1
19,'Link  19',LinkC,80,93,5000,1,1
20,'Link  20',LinkC,93,106,5000,1,1
21,'Link  21',LinkC,106,119,5000,1,1
22,'Link  22',LinkC,119,132,5000,1,1
23,'Link  23',LinkC,132,145,5000,1,1
24,'Link  24',LinkC,145,158,5000,1,1
25,'Link  25',LinkC,3,16,5000,1,1
28,'Link  28',LinkC,42,55,5000,1,1
29,'Link  29',LinkC,55,68,5000,1,1
32,'Link  32',LinkC,94,107,5000,1,1
33,'Link  33',LinkC,107,120,5000,1,1
36,'Link  36',LinkC,146,159,5000,1,1
37,'Link  37',LinkC,4,17,5000,1,1
38,'Link  38',LinkC,17,30,5000,1,1
39,'Link  39',LinkC,30,43,5000,1,1
40,'Link  40',LinkC,43,56,5000,1,1
41,'Link  41',LinkC,56,69,5000,1,1
42,'Link  42',LinkC,69,82,5000,1,1
43,'Link  43',LinkC,82,95,5000,1,1
44,'Link  44',LinkC,95,108,5000,1,1
45,'Link  45',LinkC,108,121,5000,1,1
46,'Link  46',LinkC,121,134,5000,1,1
47,'Link  47',LinkC,134,147,5000,1,1
48,'Link  48',LinkC,147,160,5000,1,1
49,'Link  49',LinkC,5,18,5000,1,1
50,'Link  50',LinkC,18,31,5000,1,1
51,'Link  51',LinkC,31,44,5000,1,1
54,'Link  54',LinkC,70,83,5000,1,1
55,'Link  55',LinkC,83,96,5000,1,1
58,'Link  58',LinkC,122,135,5000,1,1
59,'Link  59',LinkC,135,148,5000,1,1
60,'Link  60',LinkC,148,161,5000,1,1
61,'Link  61',LinkC,6,19,5000,1,1
62,'Link  62',LinkC,19,32,5000,1,1
63,'Link  63',LinkC,32,45,5000,1,1
64,'Link  64',LinkC,45,58,5000,1,1
65,'Link  65',LinkC,58,71,5000,1,1
66,'Link  66',LinkC,71,84,5000,1,1
67,'Link  67',LinkC,84,97,5000,1,1
68,'Link  68',LinkC,97,110,5000,1,1
69,'Link  69',LinkC,110,123,5000,1,1
70,'Link  70',LinkC,123,136,5000,1,1
71,'Link  71',LinkC,136,149,5000,1,1
72,'Link  72',LinkC,149,162,5000,1,1
73,'Link  73',LinkC,7,20,5000,1,1
76,'Link  76',LinkC,46,59,5000,1,1
77,'Link  77',LinkC,59,72,5000,1,1
80,'Link  80',LinkC,98,111,5000,1,1
81,'Link  81',LinkC,111,124,5000,1,1
84,'Link  84',LinkC,150,163,5000,1,1
85,'Link  85',LinkC,8,21,5000,1,1
86,'Link  86',LinkC,21,34,5000,1,1
87,'Link  87',LinkC,34,47,5000,1,1
88,'Link  88',LinkC,47,60,5000,1,1
89,'Link  89',LinkC,60,73,5000,1,1
90,'Link  90',LinkC,73,86,5000,1,1
91,'Link  91',LinkC,86,99,5000,1,1
92,'Link  92',LinkC,99,112,5000,1,1
93,'Link  93',LinkC,112,125,5000,1,1
94,'Link  94',LinkC,125,138,5000,1,1
95,'Link  95',LinkC,138,151,5000,1,1
96,'Link  96',LinkC,151,164,5000,1,1
97,'Link  97',LinkC,9,22,5000,1,1
98,'Link  98',LinkC,22,35,5000,1,1
99,'Link  99',LinkC,35,48,5000,1,1
102,'Link 102',LinkC,74,87,5000,1,1
103,'Link 103',LinkC,87,100,5000,1,1
106,'Link 106',LinkC,126,139,5000,1,1
107,'Link 107',LinkC,139,152,5000,1,1
108,'Link 108',LinkC,152,165,5000,1,1
109,'Link 109',LinkC,10,23,5000,1,1
110,'Link 110',LinkC,23,36,5000,1,1
111,'Link 111',LinkC,36,49,5000,1,1
112,'Link 112',LinkC,49,62,5000,1,1
113,'Link 113',LinkC,62,75,5000,1,1
114,'Link 114',LinkC,75,88,5000,1,1
115,'Link 115',LinkC,88,101,5000,1,1
116,'Link 116',LinkC,101,114,5000,1,1
117,'Link 117',LinkC,114,127,5000,1,1
118,'Link 118',LinkC,127,140,5000,1,1
119,'Link 119',LinkC,140,153,5000,1,1
120,'Link 120',LinkC,153,166,5000,1,1
121,'Link 121',LinkC,11,24,5000,1,1
124,'Link 124',LinkC,50,63,5000,1,1
125,'Link 125',LinkC,63,76,5000,1,1
128,'Link 128',LinkC,102,115,5000,1,1
129,'Link 129',LinkC,115,128,5000,1,1
132,'Link 132',LinkC,154,167,5000,1,1
133,'Link 133',LinkC,12,25,5000,1,1
134,'Link 134',LinkC,25,38,5000,1,1
135,'Link 135',LinkC,38,51,5000,1,1
136,'Link 136',LinkC,51,64,5000,1,1
137,'Link 137',LinkC,64,77,5000,1,1
138,'Link 138',LinkC,77,90,5000,1,1
139,'Link 139',LinkC,90,103,5000,1,1
140,'Link 140',LinkC,103,116,5000,1,1
141,'Link 141',LinkC,116,129,5000,1,1
142,'Link 142',LinkC,129,142,5000,1,1
143,'Link 143',LinkC,142,155,5000,1,1
144,'Link 144',LinkC,155,168,5000,1,1
145,'Link 145',LinkC,13,26,5000,1,1
146,'Link 146',LinkC,26,39,5000,1,1
147,'Link 147',LinkC,39,52,5000,1,1
148,'Link 148',LinkC,52,65,5000,1,1
149,'Link 149',LinkC,65,78,5000,1,1
150,'Link 150',LinkC,78,91,5000,1,1
151,'Link 151',LinkC,91,104,5000,1,1
152,'Link 152',LinkC,104,117,5000,1,1
153,'Link 153',LinkC,117,130,5000,1,1
154,'Link 154',LinkC,130,143,5000,1,1
155,'Link 155',LinkC,143,156,5000,1,1
156,'Link 156',LinkC,156,169,5000,1,1
157,'Link 157',LinkC,1,2,5000,1,1
158,'Link 158',LinkC,2,3,5000,1,1
159,'Link 159',LinkC,3,4,5000,1,1
160,'Link 160',LinkC,4,5,5000,1,1
161,'Link 161',LinkC,5,6,5000,1,1
162,'Link 162',LinkC,6,7,5000,1,1
163,'Link 163',LinkC,7,8,5000,1,1
164,'Link 164',LinkC,8,9,5000,1,1
165,'Link 165',LinkC,9,10,5000,1,1
166,'Link 166',LinkC,10,11,5000,1,1
167,'Link 167',LinkC,11,12,5000,1,1
168,'Link 168',LinkC,12,13,5000,1,1
169,'Link 169',LinkC,14,15,5000,1,1
170,'Link 170',LinkC,15,16,5000,1,1
171,'Link 171',LinkC,16,17,5000,1,1
172,'Link 172',LinkC,17,18,5000,1,1
173,'Link 173',LinkC,18,19,5000,1,1
174,'Link 174',LinkC,19,20,5000,1,1
175,'Link 175',LinkC,20,21,5000,1,1
176,'Link 176',LinkC,21,22,5000,1,1
177,'Link 177',LinkC,22,23,5000,1,1
178,'Link 178',LinkC,23,24,5000,1,1
179,'Link 179',LinkC,24,25,5000,1,1
180,'Link 180',LinkC,25,26,5000,1,1
181,'Link 181',LinkC,27,28,5000,1,1
184,'Link 184',LinkC,30,31,5000,1,1
185,'Link 185',LinkC,31,32,5000,1,1
188,'Link 188',LinkC,34,35,5000,1,1
189,'Link 189',LinkC,35,36,5000,1,1
192,'Link 192',LinkC,38,39,5000,1,1
193,'Link 193',LinkC,40,41,5000,1,1
194,'Link 194',LinkC,41,42,5000,1,1
195,'Link 195',LinkC,42,43,5000,1,1
196,'Link 196',LinkC,43,44,5000,1,1
197,'Link 197',LinkC,44,45,5000,1,1
198,'Link 198',LinkC,45,46,5000,1,1
199,'Link 199',LinkC,46,47,5000,1,1
200,'Link 200',LinkC,47,48,5000,1,1
201,'Link 201',LinkC,48,49,5000,1,1
202,'Link 202',LinkC,49,50,5000,1,1
203,'Link 203',LinkC,50,51,5000,1,1
204,'Link 204',LinkC,51,52,5000,1,1
205,'Link 205',LinkC,53,54,5000,1,1
206,'Link 206',LinkC,54,55,5000,1,1
207,'Link 207',LinkC,55,56,5000,1,1
210,'Link 210',LinkC,58,59,5000,1,1
211,'Link 211',LinkC,59,60,5000,1,1
214,'Link 214',LinkC,62,63,5000,1,1
215,'Link 215',LinkC,63,64,5000,1,1
216,'Link 216',LinkC,64,65,5000,1,1
217,'Link 217',LinkC,66,67,5000,1,1
218,'Link 218',LinkC,67,68,5000,1,1
219,'Link 219',LinkC,68,69,5000,1,1
220,'Link 220',LinkC,69,70,5000,1,1
221,'Link 221',LinkC,70,71,5000,1,1
222,'Link 222',LinkC,71,72,5000,1,1
223,'Link 223',LinkC,72,73,5000,1,1
224,'Link 224',LinkC,73,74,5000,1,1
225,'Link 225',LinkC,74,75,5000,1,1
226,'Link 226',LinkC,75,76,5000,1,1
227,'Link 227',LinkC,76,77,5000,1,1
228,'Link 228',LinkC,77,78,5000,1,1
229,'Link 229',LinkC,79,80,5000,1,1
232,'Link 232',LinkC,82,83,5000,1,1
233,'Link 233',LinkC,83,84,5000,1,1
236,'Link 236',LinkC,86,87,5000,1,1
237,'Link 237',LinkC,87,88,5000,1,1
240,'Link 240',LinkC,90,91,5000,1,1
241,'Link 241',LinkC,92,93,5000,1,1
242,'Link 242',LinkC,93,94,5000,1,1
243,'Link 243',LinkC,94,95,5000,1,1
244,'Link 244',LinkC,95,96,5000,1,1
245,'Link 245',LinkC,96,97,5000,1,1
246,'Link 246',LinkC,97,98,5000,1,1
247,'Link 247',LinkC,98,99,5000,1,1
248,'Link 248',LinkC,99,100,5000,1,1
249,'Link 249',LinkC,100,101,5000,1,1
250,'Link 250',LinkC,101,102,5000,1,1
251,'Link 251',LinkC,102,103,5000,1,1
252,'Link 252',LinkC,103,104,5000,1,1
253,'Link 253',LinkC,105,106,5000,1,1
254,'Link 254',LinkC,106,107,5000,1,1
255,'Link 255',LinkC,107,108,5000,1,1
258,'Link 258',LinkC,110,111,5000,1,1
259,'Link 259',LinkC,111,112,5000,1,1
262,'Link 262',LinkC,114,115,5000,1,1
263,'Link 263',LinkC,115,116,5000,1,1
264,'Link 264',LinkC,116,117,5000,1,1
265,'Link 265',LinkC,118,119,5000,1,1
266,'Link 266',LinkC,119,120,5000,1,1
267,'Link 267',LinkC,120,121,5000,1,1
268,'Link 268',LinkC,121,122,5000,1,1
269,'Link 269',LinkC,122,123,5000,1,1
270,'Link 270',LinkC,123,124,5000,1,1
271,'Link 271',LinkC,124,125,5000,1,1
272,'Link 272',LinkC,125,126,5000,1,1
273,'Link 273',LinkC,126,127,5000,1,1
274,'Link 274',LinkC,127,128,5000,1,1
275,'Link 275',LinkC,128,129,5000,1,1
276,'Link 276',LinkC,129,130,5000,1,1
277,'Link 277',LinkC,131,132,5000,1,1
280,'Link 280',LinkC,134,135,5000,1,1
281,'Link 281',LinkC,135,136,5000,1,1
284,'Link 284',LinkC,138,139,5000,1,1
285,'Link 285',LinkC,139,140,5000,1,1
288,'Link 288',LinkC,142,143,5000,1,1
289,'Link 289',LinkC,144,145,5000,1,1
290,'Link 290',LinkC,145,146,5000,1,1
291,'Link 291',LinkC,146,147,5000,1,1
292,'Link 292',LinkC,147,148,5000,1,1
293,'Link 293',LinkC,148,149,5000,1,1
294,'Link 294',LinkC,149,150,5000,1,1
295,'Link 295',LinkC,150,151,5000,1,1
296,'Link 296',LinkC,151,152,5000,1,1
297,'Link 297',LinkC,152,153,5000,1,1
298,'Link 298',LinkC,153,154,5000,1,1
299,'Link 299',LinkC,154,155,5000,1,1
300,'Link 300',LinkC,155,156,5000,1,1
301,'Link 301',LinkC,157,158,5000,1,1
302,'Link 302',LinkC,158,159,5000,1,1
303,'Link 303',LinkC,159,160,5000,1,1
304,'Link 304',LinkC,160,161,5000,1,1
305,'Link 305',LinkC,161,162,5000,1,1
306,'Link 306',LinkC,162,163,5000,1,1
307,'Link 307',LinkC,163,164,5000,1,1
308,'Link 308',LinkC,164,165,5000,1,1
309,'Link 309',LinkC,165,166,5000,1,1
310,'Link 310',LinkC,166,167,5000,1,1
311,'Link 311',LinkC,167,168,5000,1,1
312,'Link 312',LinkC,168,169,5000,1,1
313,'Link 313',LinkC,14,1,5000,1,1
314,'Link 314',LinkC,27,14,5000,1,1
315,'Link 315',LinkC,40,27,5000,1,1
316,'Link 316',LinkC,53,40,5000,1,1
317,'Link 317',LinkC,66,53,5000,1,1
318,'Link 318',LinkC,79,66,5000,1,1
319,'Link 319',LinkC,92,79,5000,1,1
320,'Link 320',LinkC,105,92,5000,1,1
321,'Link 321',LinkC,118,105,5000,1,1
322,'Link 322',LinkC,131,118,5000,1,1
323,'Link 323',LinkC,144,131,5000,1,1
324,'Link 324',LinkC,157,144,5000,1,1
325,'Link 325',LinkC,15,2,5000,1,1
326,'Link 326',LinkC,28,15,5000,1,1
327,'Link 327',LinkC,41,28,5000,1,1
328,'Link 328',LinkC,54,41,5000,1,1
329,'Link 329',LinkC,67,54,5000,1,1
330,'Link 330',LinkC,80,67,5000,1,1
331,'Link 331',LinkC,93,80,5000,1,1
332,'Link 332',LinkC,106,93,5000,1,1
333,'Link 333',LinkC,119,106,5000,1,1
334,'Link 334',LinkC,132,119,5000,1,1
335,'Link 335',LinkC,145,132,5000,1,1
336,'Link 336',LinkC,158,145,5000,1,1
337,'Link 337',LinkC,16,3,5000,1,1
340,'Link 340',LinkC,55,42,5000,1,1
341,'Link 341',LinkC,68,55,5000,1,1
344,'Link 344',LinkC,107,94,5000,1,1
345,'Link 345',LinkC,120,107,5000,1,1
348,'Link 348',LinkC,159,146,5000,1,1
349,'Link 349',LinkC,17,4,5000,1,1
350,'Link 350',LinkC,30,17,5000,1,1
351,'Link 351',LinkC,43,30,5000,1,1
352,'Link 352',LinkC,56,43,5000,1,1
353,'Link 353',LinkC,69,56,5000,1,1
354,'Link 354',LinkC,82,69,5000,1,1
355,'Link 355',LinkC,95,82,5000,1,1
356,'Link 356',LinkC,108,95,5000,1,1
357,'Link 357',LinkC,121,108,5000,1,1
358,'Link 358',LinkC,134,121,5000,1,1
359,'Link 359',LinkC,147,134,5000,1,1
360,'Link 360',LinkC,160,147,5000,1,1
361,'Link 361',LinkC,18,5,5000,1,1
362,'Link 362',LinkC,31,18,5000,1,1
363,'Link 363',LinkC,44,31,5000,1,1
366,'Link 366',LinkC,83,70,5000,1,1
367,'Link 367',LinkC,96,83,5000,1,1
370,'Link 370',LinkC,135,122,5000,1,1
371,'Link 371',LinkC,148,135,5000,1,1
372,'Link 372',LinkC,161,148,5000,1,1
373,'Link 373',LinkC,19,6,5000,1,1
374,'Link 374',LinkC,32,19,5000,1,1
375,'Link 375',LinkC,45,32,5000,1,1
376,'Link 376',LinkC,58,45,5000,1,1
377,'Link 377',LinkC,71,58,5000,1,1
378,'Link 378',LinkC,84,71,5000,1,1
379,'Link 379',LinkC,97,84,5000,1,1
380,'Link 380',LinkC,110,97,5000,1,1
381,'Link 381',LinkC,123,110,5000,1,1
382,'Link 382',LinkC,136,123,5000,1,1
383,'Link 383',LinkC,149,136,5000,1,1
384,'Link 384',LinkC,162,149,5000,1,1
385,'Link 385',LinkC,20,7,5000,1,1
388,'Link 388',LinkC,59,46,5000,1,1
389,'Link 389',LinkC,72,59,5000,1,1
392,'Link 392',LinkC,111,98,5000,1,1
393,'Link 393',LinkC,124,111,5000,1,1
396,'Link 396',LinkC,163,150,5000,1,1
397,'Link 397',LinkC,21,8,5000,1,1
398,'Link 398',LinkC,34,21,5000,1,1
399,'Link 399',LinkC,47,34,5000,1,1
400,'Link 400',LinkC,60,47,5000,1,1
401,'Link 401',LinkC,73,60,5000,1,1
402,'Link 402',LinkC,86,73,5000,1,1
403,'Link 403',LinkC,99,86,5000,1,1
404,'Link 404',LinkC,112,99,5000,1,1
405,'Link 405',LinkC,125,112,5000,1,1
406,'Link 406',LinkC,138,125,5000,1,1
407,'Link 407',LinkC,151,138,5000,1,1
408,'Link 408',LinkC,164,151,5000,1,1
409,'Link 409',LinkC,22,9,5000,1,1
410,'Link 410',LinkC,35,22,5000,1,1
411,'Link 411',LinkC,48,35,5000,1,1
414,'Link 414',LinkC,87,74,5000,1,1
415,'Link 415',LinkC,100,87,5000,1,1
418,'Link 418',LinkC,139,126,5000,1,1
419,'Link 419',LinkC,152,139,5000,1,1
420,'Link 420',LinkC,165,152,5000,1,1
421,'Link 421',LinkC,23,10,5000,1,1
422,'Link 422',LinkC,36,23,5000,1,1
423,'Link 423',LinkC,49,36,5000,1,1
424,'Link 424',LinkC,62,49,5000,1,1
425,'Link 425',LinkC,75,62,5000,1,1
426,'Link 426',LinkC,88,75,5000,1,1
427,'Link 427',LinkC,101,88,5000,1,1
428,'Link 428',LinkC,114,101,5000,1,1
429,'Link 429',LinkC,127,114,5000,1,1
430,'Link 430',LinkC,140,127,5000,1,1
431,'Link 431',LinkC,153,140,5000,1,1
432,'Link 432',LinkC,166,153,5000,1,1
433,'Link 433',LinkC,24,11,5000,1,1
436,'Link 436',LinkC,63,50,5000,1,1
437,'Link 437',LinkC,76,63,5000,1,1
440,'Link 440',LinkC,115,102,5000,1,1
441,'Link 441',LinkC,128,115,5000,1,1
444,'Link 444',LinkC,167,154,5000,1,1
445,'Link 445',LinkC,25,12,5000,1,1
446,'Link 446',LinkC,38,25,5000,1,1
447,'Link 447',LinkC,51,38,5000,1,1
448,'Link 448',LinkC,64,51,5000,1,1
449,'Link 449',LinkC,77,64,5000,1,1
450,'Link 450',LinkC,90,77,5000,1,1
451,'Link 451',LinkC,103,90,5000,1,1
452,'Link 452',LinkC,116,103,5000,1,1
453,'Link 453',LinkC,129,116,5000,1,1
454,'Link 454',LinkC,142,129,5000,1,1
455,'Link 455',LinkC,155,142,5000,1,1
456,'Link 456',LinkC,168,155,5000,1,1
457,'Link 457',LinkC,26,13,5000,1,1
458,'Link 458',LinkC,39,26,5000,1,1
459,'Link 459',LinkC,52,39,5000,1,1
460,'Link 460',LinkC,65,52,5000,1,1
461,'Link 461',LinkC,78,65,5000,1,1
462,'Link 462',LinkC,91,78,5000,1,1
463,'Link 463',LinkC,104,91,5000,1,1
464,'Link 464',LinkC,117,104,5000,1,1
465,'Link 465',LinkC,130,117,5000,1,1
466,'Link 466',LinkC,143,130,5000,1,1
467,'Link 467',LinkC,156,143,5000,1,1
468,'Link 468',LinkC,169,156,5000,1,1
469,'Link 469',LinkC,2,1,5000,1,1
470,'Link 470',LinkC,3,2,5000,1,1
471,'Link 471',LinkC,4,3,5000,1,1
472,'Link 472',LinkC,5,4,5000,1,1
473,'Link 473',LinkC,6,5,5000,1,1
474,'Link 474',LinkC,7,6,5000,1,1
475,'Link 475',LinkC,8,7,5000,1,1
476,'Link 476',LinkC,9,8,5000,1,1
477,'Link 477',LinkC,10,9,5000,1,1
478,'Link 478',LinkC,11,10,5000,1,1
479,'Link 479',LinkC,12,11,5000,1,1
480,'Link 480',LinkC,13,12,5000,1,1
481,'Link 481',LinkC,15,14,5000,1,1
482,'Link 482',LinkC,16,15,5000,1,1
483,'Link 483',LinkC,17,16,5000,1,1
484,'Link 484',LinkC,18,17,5000,1,1
485,'Link 485',LinkC,19,18,5000,1,1
486,'Link 486',LinkC,20,19,5000,1,1
487,'Link 487',LinkC,21,20,5000,1,1
488,'Link 488',LinkC,22,21,5000,1,1
489,'Link 489',LinkC,23,22,5000,1,1
490,'Link 490',LinkC,24,23,5000,1,1
491,'Link 491',LinkC,25,24,5000,1,1
492,'Link 492',LinkC,26,25,5000,1,1
493,'Link 493',LinkC,28,27,5000,1,1
496,'Link 496',LinkC,31,30,5000,1,1
497,'Link 497',LinkC,32,31,5000,1,1
500,'Link 500',LinkC,35,34,5000,1,1
501,'Link 501',LinkC,36,35,5000,1,1
504,'Link 504',LinkC,39,38,5000,1,1
505,'Link 505',LinkC,41,40,5000,1,1
506,'Link 506',LinkC,42,41,5000,1,1
507,'Link 507',LinkC,43,42,5000,1,1
508,'Link 508',LinkC,44,43,5000,1,1
509,'Link 509',LinkC,45,44,5000,1,1
510,'Link 510',LinkC,46,45,5000,1,1
511,'Link 511',LinkC,47,46,5000,1,1
512,'Link 512',LinkC,48,47,5000,1,1
513,'Link 513',LinkC,49,48,5000,1,1
514,'Link 514',LinkC,50,49,5000,1,1
515,'Link 515',LinkC,51,50,5000,1,1
516,'Link 516',LinkC,52,51,5000,1,1
517,'Link 517',LinkC,54,53,5000,1,1
518,'Link 518',LinkC,55,54,5000,1,1
519,'Link 519',LinkC,56,55,5000,1,1
522,'Link 522',LinkC,59,58,5000,1,1
523,'Link 523',LinkC,60,59,5000,1,1
526,'Link 526',LinkC,63,62,5000,1,1
527,'Link 527',LinkC,64,63,5000,1,1
528,'Link 528',LinkC,65,64,5000,1,1
529,'Link 529',LinkC,67,66,5000,1,1
530,'Link 530',LinkC,68,67,5000,1,1
531,'Link 531',LinkC,69,68,5000,1,1
532,'Link 532',LinkC,70,69,5000,1,1
533,'Link 533',LinkC,71,70,5000,1,1
534,'Link 534',LinkC,72,71,5000,1,1
535,'Link 535',LinkC,73,72,5000,1,1
536,'Link 536',LinkC,74,73,5000,1,1
537,'Link 537',LinkC,75,74,5000,1,1
538,'Link 538',LinkC,76,75,5000,1,1
539,'Link 539',LinkC,77,76,5000,1,1
540,'Link 540',LinkC,78,77,5000,1,1
541,'Link 541',LinkC,80,79,5000,1,1
544,'Link 544',LinkC,83,82,5000,1,1
545,'Link 545',LinkC,84,83,5000,1,1
548,'Link 548',LinkC,87,86,5000,1,1
549,'Link 549',LinkC,88,87,5000,1,1
552,'Link 552',LinkC,91,90,5000,1,1
553,'Link 553',LinkC,93,92,5000,1,1
554,'Link 554',LinkC,94,93,5000,1,1
555,'Link 555',LinkC,95,94,5000,1,1
556,'Link 556',LinkC,96,95,5000,1,1
557,'Link 557',LinkC,97,96,5000,1,1
558,'Link 558',LinkC,98,97,5000,1,1
559,'Link 559',LinkC,99,98,5000,1,1
560,'Link 560',LinkC,100,99,5000,1,1
561,'Link 561',LinkC,101,100,5000,1,1
562,'Link 562',LinkC,102,101,5000,1,1
563,'Link 563',LinkC,103,102,5000,1,1
564,'Link 564',LinkC,104,103,5000,1,1
565,'Link 565',LinkC,106,105,5000,1,1
566,'Link 566',LinkC,107,106,5000,1,1
567,'Link 567',LinkC,108,107,5000,1,1
570,'Link 570',LinkC,111,110,5000,1,1
571,'Link 571',LinkC,112,111,5000,1,1
574,'Link 574',LinkC,115,114,5000,1,1
575,'Link 575',LinkC,116,115,5000,1,1
576,'Link 576',LinkC,117,116,5000,1,1
577,'Link 577',LinkC,119,118,5000,1,1
578,'Link 578',LinkC,120,119,5000,1,1
579,'Link 579',LinkC,121,120,5000,1,1
580,'Link 580',LinkC,122,121,5000,1,1
581,'Link 581',LinkC,123,122,5000,1,1
582,'Link 582',LinkC,124,123,5000,1,1
583,'Link 583',LinkC,125,124,5000,1,1
584,'Link 584',LinkC,126,125,5000,1,1
585,'Link 585',LinkC,127,126,5000,1,1
586,'Link 586',LinkC,128,127,5000,1,1
587,'Link 587',LinkC,129,128,5000,1,1
588,'Link 588',LinkC,130,129,5000,1,1
589,'Link 589',LinkC,132,131,5000,1,1
592,'Link 592',LinkC,135,134,5000,1,1
593,'Link 593',LinkC,136,135,5000,1,1
596,'Link 596',LinkC,139,138,5000,1,1
597,'Link 597',LinkC,140,139,5000,1,1
600,'Link 600',LinkC,143,142,5000,1,1
601,'Link 601',LinkC,145,144,5000,1,1
602,'Link 602',LinkC,146,145,5000,1,1
603,'Link 603',LinkC,147,146,5000,1,1
604,'Link 604',LinkC,148,147,5000,1,1
605,'Link 605',LinkC,149,148,5000,1,1
606,'Link 606',LinkC,150,149,5000,1,1
607,'Link 607',LinkC,151,150,5000,1,1
608,'Link 608',LinkC,152,151,5000,1,1
609,'Link 609',LinkC,153,152,5000,1,1
610,'Link 610',LinkC,154,153,5000,1,1
611,'Link 611',LinkC,155,154,5000,1,1
612,'Link 612',LinkC,156,155,5000,1,1
613,'Link 613',LinkC,158,157,5000,1,1
614,'Link 614',LinkC,159,158,5000,1,1
615,'Link 615',LinkC,160,159,5000,1,1
616,'Link 616',LinkC,161,160,5000,1,1
617,'Link 617',LinkC,162,161,5000,1,1
618,'Link 618',LinkC,163,162,5000,1,1
619,'Link 619',LinkC,164,163,5000,1,1
620,'Link 620',LinkC,165,164,5000,1,1
621,'Link 621',LinkC,166,165,5000,1,1
622,'Link 622',LinkC,167,166,5000,1,1
623,'Link 623',LinkC,168,167,5000,1,1
624,'Link 624',LinkC,169,168,5000,1,1
